hour,day_of_week,weather,road_type,base_travel_time,traffic_level,travel_time
20,0,Sunny,Residential,11.875732959227982,HIGH,20.09748493678762
17,0,Rain,Main Road,5.79456698704459,HIGH,9.877351440186853
22,5,Rain,Residential,15.487995524041468,MEDIUM,23.029322650267712
13,2,Cloudy,Highway,10.38284405268972,LOW,11.993612976407965
11,4,Cloudy,Highway,23.24329466734545,LOW,27.8009962312935
20,4,Cloudy,Residential,9.807214756416498,HIGH,17.119323039681117
7,6,Sunny,Main Road,11.949340077752304,HIGH,18.039232323767326
8,5,Rain,Residential,6.785062739463708,HIGH,11.572628915792778
20,5,Rain,Highway,22.115356274746865,HIGH,36.98358278043124
8,0,Sunny,Residential,26.909190661816723,HIGH,42.376747451081805
20,3,Sunny,Main Road,8.490757988137657,HIGH,15.677357417790622
13,4,Cloudy,Main Road,10.483018978932083,MEDIUM,13.604159652910383
3,1,Rain,Highway,24.801984109074102,LOW,25.883656094783206
16,2,Rain,Highway,22.007085256412964,MEDIUM,29.52672097885765
10,0,Cloudy,Main Road,8.953943858616743,HIGH,13.938982358928847
5,4,Sunny,Residential,12.461119786215821,LOW,13.683293503313276
5,4,Rain,Highway,19.973614611505724,LOW,21.21224469729607
9,1,Sunny,Highway,26.950239980101014,HIGH,43.71925226689399
2,6,Rain,Highway,8.20978661249407,LOW,7.425240189486448
6,4,Rain,Residential,10.028776584742397,HIGH,16.054110047620494
16,3,Sunny,Highway,10.617433425788935,LOW,11.067449730718575
7,0,Sunny,Residential,20.77757393175247,HIGH,34.05480322072134
2,4,Sunny,Main Road,21.724444457407014,LOW,22.419829363047274
18,4,Cloudy,Highway,24.615485607268834,HIGH,41.547455920014094
13,3,Cloudy,Residential,6.354279680804263,MEDIUM,8.857563876465019
3,1,Sunny,Highway,18.40714384775861,LOW,15.727841950003086
2,3,Rain,Highway,6.264708238122031,MEDIUM,7.764169584789369
7,1,Cloudy,Main Road,17.033960449275988,HIGH,28.915692465109554
12,2,Cloudy,Main Road,15.575187149754072,MEDIUM,22.741458392870303
4,1,Cloudy,Highway,29.217734124228972,LOW,26.098615502676
18,3,Rain,Residential,8.935818198487082,HIGH,18.041479683716428
21,6,Sunny,Main Road,7.997165348678105,MEDIUM,10.2644857757547
13,5,Rain,Residential,18.06956788829897,HIGH,27.481471604875342
21,5,Cloudy,Main Road,12.90442990679635,MEDIUM,18.32407413384059
2,4,Sunny,Residential,11.630010368760033,MEDIUM,14.48625849101282
11,2,Sunny,Main Road,25.843623865995177,MEDIUM,35.68623734519981
20,4,Sunny,Residential,25.42760337788654,HIGH,44.75507226743128
4,2,Sunny,Highway,23.56041709952497,LOW,19.551313657785776
10,1,Rain,Residential,26.322820384797435,HIGH,46.338873596643815
20,3,Cloudy,Highway,5.0886422271945575,HIGH,8.878012959761241
17,5,Cloudy,Residential,5.241742490208499,HIGH,8.237186308433213
18,4,Sunny,Main Road,8.18613798205347,HIGH,14.018373227803401
1,2,Sunny,Residential,11.23824348057311,LOW,12.724286140412003
13,4,Rain,Highway,28.144095564238913,LOW,32.08350440417661
13,0,Sunny,Residential,28.11218238103864,MEDIUM,38.84011931055258
23,6,Sunny,Main Road,8.979946074518281,LOW,10.48299485639653
6,6,Cloudy,Main Road,12.629771683465014,MEDIUM,15.358135787192888
2,6,Cloudy,Main Road,21.037043465190692,LOW,20.145773834447684
8,1,Rain,Main Road,5.956429933831568,HIGH,10.868864833993387
16,0,Cloudy,Residential,9.7519693625574,MEDIUM,13.114520727778892
21,5,Rain,Residential,21.765712610824988,MEDIUM,31.26143726541576
3,5,Cloudy,Residential,12.732116555216331,LOW,12.747476152097088
12,5,Rain,Highway,20.387872898784515,LOW,21.785250288730694
18,4,Rain,Main Road,16.624704756175355,HIGH,31.41760441891849
23,1,Rain,Highway,12.094660124825687,MEDIUM,17.30296936603177
7,5,Cloudy,Highway,25.164072364406646,MEDIUM,33.663773051368025
14,3,Rain,Residential,9.860880918492732,HIGH,15.299831419482869
0,6,Sunny,Main Road,10.471028420307984,LOW,10.250557007734706
3,3,Sunny,Main Road,21.689443314658828,LOW,25.568837731210255
14,4,Rain,Residential,15.668518921466388,HIGH,25.0200812359081
14,2,Sunny,Residential,11.932783828268512,MEDIUM,15.864816224460952
14,0,Rain,Main Road,10.862339450365884,MEDIUM,15.58873208716045
12,5,Sunny,Residential,10.348821927649686,LOW,12.129645907696945
13,3,Rain,Residential,5.488298918443178,HIGH,9.141030445256739
9,6,Cloudy,Main Road,18.455514190255787,HIGH,29.517711981153205
15,0,Cloudy,Main Road,21.72184051557293,MEDIUM,32.07623335720959
19,4,Sunny,Main Road,19.797319390697773,HIGH,33.87896230483387
14,1,Sunny,Main Road,14.47759660470349,MEDIUM,18.041376263553484
12,2,Cloudy,Main Road,25.87277287280303,MEDIUM,34.90302098854238
7,5,Sunny,Residential,6.006453438519165,MEDIUM,8.642419828476958
7,1,Cloudy,Residential,7.859736152732664,HIGH,14.370272783668554
19,4,Rain,Residential,7.863321784472442,HIGH,14.980694935018674
9,4,Rain,Main Road,14.916361037915683,HIGH,27.497239500332913
3,5,Cloudy,Residential,20.010290370421103,LOW,19.22766682413937
11,0,Rain,Residential,13.530779371532079,HIGH,22.681586114819403
20,6,Cloudy,Residential,8.824778727346498,HIGH,14.61005470267299
15,3,Cloudy,Residential,19.811865476592544,MEDIUM,26.66887550727684
14,1,Cloudy,Residential,20.258292605763017,MEDIUM,26.746603821420745
6,2,Cloudy,Main Road,11.99146220093965,MEDIUM,16.42929952365335
6,0,Sunny,Residential,15.160703116762981,MEDIUM,19.7723381956679
22,3,Cloudy,Highway,7.326333763866792,LOW,8.342112155207571
15,4,Rain,Main Road,15.63759531763037,MEDIUM,22.893591181991518
8,1,Sunny,Residential,9.814607336287935,HIGH,15.122088451716241
5,1,Sunny,Residential,17.104964680317718,LOW,20.312648662683664
9,0,Sunny,Main Road,10.687079087063868,MEDIUM,15.261678277327313
8,0,Sunny,Residential,12.303416113819438,HIGH,23.228511762892566
3,6,Sunny,Residential,12.108483178428735,LOW,12.634498976580025
15,0,Sunny,Main Road,17.2936640072767,MEDIUM,21.785550462041925
18,2,Sunny,Highway,7.96128905528654,HIGH,13.317009800850562
7,6,Rain,Main Road,16.262861622218857,HIGH,28.30434075956545
19,5,Sunny,Highway,20.63787576016508,MEDIUM,28.74755487114002
5,0,Cloudy,Main Road,22.234278394619224,LOW,22.99442987524122
14,0,Rain,Highway,28.097776112063716,MEDIUM,39.873864734962815
13,0,Rain,Highway,21.190868085062018,MEDIUM,29.65963944715133
9,4,Rain,Residential,28.029813224190953,HIGH,49.956512389615135
8,4,Rain,Main Road,15.94397158928995,HIGH,31.26100728901222
0,0,Sunny,Residential,25.89896534765453,MEDIUM,31.655214269518506
21,6,Cloudy,Residential,6.005791828615404,MEDIUM,7.948934851218795
18,3,Rain,Main Road,29.226380901642592,HIGH,51.98087831235619
5,2,Cloudy,Residential,17.386725524108442,LOW,19.89058648694737
2,2,Cloudy,Main Road,7.898040035773946,LOW,8.983043116068798
17,3,Cloudy,Highway,9.68956353486318,HIGH,15.198816561407215
6,2,Rain,Highway,28.191819021111193,MEDIUM,39.83892037331746
19,6,Sunny,Residential,8.959454095130809,HIGH,15.270450344259723
3,3,Sunny,Residential,25.80357934422253,LOW,29.221759656119808
8,3,Cloudy,Main Road,11.09327265187846,HIGH,18.937477300504337
4,6,Sunny,Main Road,24.316878316925127,LOW,24.874449159300713
0,2,Rain,Main Road,25.936898065160534,MEDIUM,34.52077921825848
15,2,Cloudy,Residential,24.07181694049948,MEDIUM,35.813071607546355
7,4,Cloudy,Highway,26.400324399684457,MEDIUM,39.30644132349885
12,3,Rain,Residential,29.520453466494626,MEDIUM,42.65249617910481
3,6,Cloudy,Highway,18.148777170189035,LOW,14.893262290799957
15,6,Cloudy,Main Road,20.58148501304995,MEDIUM,25.99385634207485
10,5,Rain,Main Road,26.809575434963406,HIGH,45.75633960427223
23,0,Cloudy,Highway,24.009242324856636,LOW,27.605040726773336
0,0,Cloudy,Highway,12.334194399130219,LOW,11.138660467597095
5,1,Sunny,Highway,20.23729467221342,LOW,17.435391899239594
18,1,Sunny,Main Road,20.94761577508921,HIGH,37.042656796140804
14,2,Rain,Residential,8.949390551794673,HIGH,13.557333375068644
13,5,Cloudy,Main Road,26.132598128564968,LOW,30.64044487123048
18,2,Rain,Main Road,5.548489946489125,HIGH,11.283473964709263
23,0,Rain,Residential,17.41818216309676,HIGH,27.68771181077238
11,1,Rain,Highway,20.522279078257604,MEDIUM,28.91595150169614
20,0,Rain,Residential,5.985564349020435,HIGH,11.291236947684999
9,2,Rain,Main Road,9.391001761107667,HIGH,16.088323217963175
8,6,Sunny,Main Road,27.851223838457802,HIGH,46.514369986610035
3,3,Sunny,Highway,23.853787326533386,LOW,20.629340403263736
12,6,Rain,Main Road,7.257571889214582,MEDIUM,9.627507499797364
8,4,Cloudy,Residential,28.507297294488854,HIGH,43.8080757142266
17,2,Rain,Highway,21.19130951598604,HIGH,37.895499731787616
3,1,Sunny,Highway,12.60911460890013,LOW,11.843407017330597
4,3,Cloudy,Main Road,21.76215547125428,LOW,25.80771847472414
4,3,Rain,Highway,25.842327082408037,MEDIUM,31.54034887945271
6,3,Cloudy,Highway,26.386254832648866,LOW,30.379208768322385
11,0,Cloudy,Main Road,9.745214054026988,MEDIUM,12.723236695703115
20,5,Rain,Highway,6.264462766571825,HIGH,10.235021970339757
17,1,Rain,Highway,25.326324528026475,HIGH,42.410472972504245
8,6,Sunny,Highway,18.505386421578784,MEDIUM,26.113808340398602
11,6,Sunny,Residential,13.094286549050562,MEDIUM,16.34581607276581
23,0,Cloudy,Main Road,24.45042598285507,MEDIUM,33.30126304887813
1,5,Rain,Residential,12.540758225702218,MEDIUM,17.533841290008443
3,3,Rain,Main Road,6.837267894161263,LOW,7.939409553498119
20,4,Rain,Residential,13.129636082966698,HIGH,26.536115247184085
3,6,Rain,Highway,26.319818432389376,LOW,27.099366193838083
7,3,Cloudy,Main Road,14.968254606423832,HIGH,24.995354619584145
4,5,Cloudy,Highway,7.280619709151216,LOW,5.959622711678771
1,4,Rain,Residential,13.241149535405127,MEDIUM,16.99177192465829
23,0,Cloudy,Residential,12.811222477191349,MEDIUM,16.38780193681339
3,2,Rain,Main Road,7.872132838257704,LOW,9.278991704509734
19,4,Rain,Residential,18.918493879261206,HIGH,36.05468848633484
8,5,Cloudy,Main Road,13.775585518424545,MEDIUM,20.098105683450125
0,0,Rain,Residential,10.378322000837773,MEDIUM,13.319405673433481
18,4,Sunny,Highway,8.88949758511221,HIGH,14.0478689722312
14,5,Cloudy,Main Road,20.176900186025385,LOW,23.771021070477346
21,5,Rain,Main Road,18.173352678703623,MEDIUM,25.159408152417214
6,6,Sunny,Main Road,12.23617828043594,LOW,13.094119314610413
17,5,Sunny,Residential,18.96808919186782,HIGH,33.44410461987
13,0,Cloudy,Highway,26.55275034030166,LOW,30.423720437576776
3,3,Sunny,Main Road,9.296829514451725,LOW,10.51252828605573
11,0,Cloudy,Highway,11.082911870568342,LOW,12.720773536060078
10,1,Cloudy,Highway,6.909484436825529,HIGH,10.973091368882306
11,5,Rain,Highway,10.906721223668107,MEDIUM,13.122222801544893
5,6,Rain,Main Road,16.59882671282549,MEDIUM,20.778080190208836
19,2,Rain,Main Road,8.773935034826923,HIGH,14.545622122363866
1,2,Rain,Highway,12.760196265157774,LOW,11.90265333499196
2,4,Rain,Residential,14.612061914561624,MEDIUM,19.997238553820846
18,5,Sunny,Main Road,20.125145851751604,HIGH,32.160415191416945
10,5,Sunny,Residential,21.153177278592977,MEDIUM,29.55835890017508
19,1,Cloudy,Main Road,27.948419727924012,HIGH,46.435352783018985
20,5,Cloudy,Highway,13.242268877943221,HIGH,20.468137010808306
19,6,Sunny,Main Road,7.0375496861970985,HIGH,11.470058363649414
21,3,Sunny,Residential,22.720850359276348,MEDIUM,29.237272379181565
10,6,Sunny,Residential,22.570771803885503,HIGH,37.25149312978427
21,3,Rain,Main Road,5.455763444788318,HIGH,8.517605362663238
6,1,Sunny,Highway,6.929127107521908,MEDIUM,8.338117279530104
23,4,Sunny,Residential,13.419109299107038,MEDIUM,17.6015613754104
5,1,Rain,Residential,25.22609299098253,MEDIUM,32.04984934080445
7,3,Rain,Main Road,23.80977912778715,HIGH,45.706182199436896
15,6,Sunny,Main Road,21.957670626627312,MEDIUM,27.49835866241872
16,4,Cloudy,Highway,25.422280989531004,MEDIUM,30.576301823204687
11,4,Sunny,Residential,26.14730691833596,MEDIUM,36.39351137418143
8,3,Rain,Highway,25.776167965954645,HIGH,40.89958212379201
0,3,Sunny,Main Road,17.550177867330888,LOW,18.678034231862934
0,2,Sunny,Residential,21.24901710735454,LOW,23.057232130561758
15,5,Sunny,Residential,16.72775317888734,LOW,18.748705464153346
4,4,Rain,Residential,18.194287647168107,LOW,20.8644639394238
13,5,Rain,Main Road,6.570178775276595,MEDIUM,9.571290566041053
22,1,Cloudy,Main Road,5.0391083983349745,MEDIUM,6.5375177784175005
16,2,Sunny,Residential,18.602048998200836,MEDIUM,24.239792623764753
15,0,Rain,Main Road,29.525985563789007,MEDIUM,39.827118641293616
23,5,Rain,Highway,24.287534352746476,LOW,29.02155231427568
5,6,Rain,Main Road,29.52047964472123,LOW,35.07750532231427
1,2,Sunny,Highway,24.777730330726097,LOW,22.86123250798518
12,6,Rain,Main Road,11.332844130065435,MEDIUM,16.955750684953944
10,2,Sunny,Main Road,15.92378457812341,HIGH,25.874849943234654
10,1,Cloudy,Residential,17.438084812340684,HIGH,33.9024898371063
2,3,Rain,Highway,18.636859933615924,LOW,17.755597554942195
19,5,Cloudy,Highway,22.244120211137158,HIGH,34.81715718893149
8,5,Sunny,Highway,21.779597222341696,MEDIUM,26.797044941543525
0,1,Rain,Residential,24.532799243586663,LOW,28.936289540875684
12,4,Sunny,Residential,8.835954084817702,MEDIUM,11.462629118717151
2,4,Sunny,Residential,14.17374871634581,LOW,15.799024512166696
0,5,Sunny,Main Road,17.9436318552098,LOW,19.6893061204419
6,4,Cloudy,Residential,27.911972738547036,MEDIUM,38.50938067355643
22,3,Sunny,Residential,29.189030909076557,MEDIUM,42.16108403921136
17,4,Cloudy,Main Road,26.284051268828147,HIGH,50.706553610564576
16,1,Sunny,Highway,24.80164184027852,LOW,25.943834438499234
18,2,Cloudy,Residential,8.24428074284426,HIGH,16.15100436763139
15,4,Cloudy,Main Road,25.583484987709767,MEDIUM,33.1847919387683
21,4,Cloudy,Highway,26.949003791260292,MEDIUM,34.30721453626692
13,4,Sunny,Highway,17.952553323100407,LOW,20.372538789225867
7,2,Rain,Main Road,26.14834265389664,HIGH,43.59986476187038
9,4,Rain,Highway,17.56432861853157,HIGH,28.514503789651158
23,4,Cloudy,Residential,6.029857588044603,MEDIUM,8.975891509834156
8,5,Sunny,Residential,15.414669591581156,HIGH,24.424038963944056
9,3,Sunny,Residential,15.152313168613961,HIGH,24.150555924735016
13,3,Cloudy,Highway,13.504814208794434,LOW,15.96656862842452
11,3,Sunny,Main Road,17.87450335205555,LOW,20.46948186139941
14,1,Sunny,Highway,6.265132295007257,LOW,7.137216793543693
5,6,Cloudy,Residential,23.028210720553048,LOW,25.891774375091703
15,0,Sunny,Main Road,17.63611157559429,MEDIUM,22.876696570360302
1,2,Cloudy,Residential,27.058486909205026,MEDIUM,33.04913455950181
13,1,Cloudy,Residential,14.144440994385025,MEDIUM,18.335189973345155
11,4,Cloudy,Highway,14.658720624494462,LOW,16.757797078110613
19,0,Sunny,Highway,14.847592818215178,HIGH,25.58945856360998
4,1,Rain,Residential,15.034677106901613,MEDIUM,18.341724077987198
16,3,Sunny,Residential,27.32829230195018,MEDIUM,35.26051989176683
12,4,Rain,Main Road,19.843116390774668,MEDIUM,29.49319698618011
15,6,Sunny,Main Road,13.280989839473065,LOW,15.268361399688828
22,5,Sunny,Residential,16.864755352126515,MEDIUM,21.998982181514798
23,0,Rain,Main Road,9.262801543666484,MEDIUM,13.873247438079316
21,1,Sunny,Residential,28.705129269607532,LOW,34.322113537219956
4,3,Rain,Highway,15.259435233067627,MEDIUM,18.484827826382283
1,5,Sunny,Residential,10.183542624281117,LOW,9.747337635947101
5,3,Rain,Main Road,18.656830481120757,MEDIUM,26.38807879563794
8,4,Cloudy,Highway,28.933434904835956,MEDIUM,41.017801014611415
9,5,Sunny,Residential,22.62470649350492,HIGH,35.76196359194128
8,2,Sunny,Residential,21.91555614456364,HIGH,37.30953862738631
4,2,Sunny,Main Road,28.882842941981046,LOW,30.855279831504955
23,3,Sunny,Highway,25.698792587700844,LOW,26.68311319401958
3,4,Rain,Residential,10.982051648657402,MEDIUM,13.99888240004887
3,3,Cloudy,Residential,16.810097675872015,MEDIUM,21.249646782666673
5,3,Rain,Main Road,16.93621301102241,MEDIUM,22.31827081243409
2,5,Rain,Highway,18.378806922340118,LOW,20.359774422704874
5,0,Cloudy,Main Road,9.657790798062223,LOW,10.511363769887687
9,4,Rain,Highway,28.21137115042543,HIGH,43.63094365476061
4,6,Rain,Main Road,11.820927037449811,MEDIUM,15.401649126852588
0,5,Cloudy,Main Road,19.194530560523482,LOW,22.486222666236312
16,2,Sunny,Main Road,21.731396335248856,LOW,25.44215387601569
7,0,Cloudy,Main Road,10.888031320038348,HIGH,19.57823750495363
0,2,Rain,Main Road,22.31921476056847,LOW,24.57936841001414
16,5,Cloudy,Residential,7.935393646119408,MEDIUM,10.21860555528817
4,3,Rain,Residential,14.340621049673409,MEDIUM,21.31146672535274
6,6,Sunny,Residential,23.868488743121635,MEDIUM,32.086489557602704
2,4,Sunny,Highway,25.71935134896063,LOW,24.477492430733452
5,2,Rain,Main Road,7.906000554616606,MEDIUM,9.499987093357639
1,3,Sunny,Residential,15.385614346116496,LOW,17.585147345942953
9,5,Sunny,Main Road,11.36143047669031,MEDIUM,14.507422025805107
22,0,Rain,Highway,28.36456997212366,MEDIUM,37.8173208493911
4,6,Rain,Residential,21.147020452429086,MEDIUM,25.62994529849112
12,0,Rain,Residential,26.863843042273125,HIGH,42.390789928980766
12,4,Sunny,Residential,29.468109425658398,MEDIUM,43.25535757357717
14,5,Rain,Residential,15.603200743335039,MEDIUM,21.036428283911192
23,6,Sunny,Highway,25.23695458847986,LOW,22.623976985501084
